iso,country,region,transition_year,baseline_year,five_nondem_years,first_eligible_transition,capacity_pre5,capacity_posterior_sd_pre5,administration_pre5,capacity_world_percentile,capacity_above_world_median,log_gdp0_ddcg,log_gdp0_mpd,pre_growth10_ddcg,pre_growth10_mpd,growth10_ddcg,growth20_ddcg,growth10_mpd,growth20_mpd,mortality_change10,negative_growth_years10_mpd,main_eligible,main_exclusion_reason,cap_z,admin_z,t_center,log_gdp0_wdi,pre_growth10_wdi,growth10_wdi,growth20_wdi
PAN,Panama,LAC,1994,1993,True,True,-0.1716780003160238,0.3537114977836609,-0.1506,40.14598540145985,0.0,8.144891738891602,9.042001203897753,0.5618858337402344,1.6211123622428758,1.449871063232422,,1.8359933856069155,4.045435899195846,-4.30000114440918,1.0,True,,-0.0395032143843241,0.4308993202382927,9,8.641369304768395,0.4463952138677385,2.175795210818716,4.246945605507237
PER,Peru,LAC,1980,1979,True,True,-0.0643955389648908,0.3818015813827514,-0.721,50.71428571428571,1.0,7.718865394592285,8.804475183846678,1.0976934432983398,1.287409643018904,-2.283492088317871,-0.5113554000854492,-2.557833253710698,-0.5706825944546612,-24.599998474121097,5.0,True,,0.115176964270392,-0.0853395723867079,-5,8.209298028734482,0.8446841847541364,-2.324745056437374,-0.6138572267360765
PHL,Philippines,EAP,1987,1986,True,True,-0.4065799951553345,0.3551124811172485,-2.0938000000000003,30.76923076923077,0.0,6.805517196655273,8.058643712215618,-0.983877182006836,-0.8167182794436734,1.1841821670532229,1.526079177856445,1.8168304992924789,2.2005188539460807,-15.799999237060549,2.0,True,,-0.3781856240763543,-1.32778829573103,2,7.346918782684051,-0.8180648468905449,1.2173032493179825,1.5386184415091453
PRT,Portugal,INL,1976,1975,True,True,0.7837999939918519,0.3764836013317108,1.1832,79.8507462686567,1.0,8.603949546813965,9.248406572782638,5.41417121887207,4.901513295498461,1.9550704956054688,2.77566909790039,2.4259125670836035,3.0874226174635133,-19.599998474121097,2.0,True,,1.338107860145999,1.6380512048512414,-9,9.112953640728236,5.09854852716364,1.955069085513479,2.777764471944666
PRY,Paraguay,LAC,1993,1992,True,True,-0.2421599894762039,0.3433569252490997,-1.2698,36.496350364963504,0.0,7.249203681945801,8.553826705677764,0.107889175415039,-0.0833985138120496,-0.8190679550170898,,0.7157987050141124,1.6624809981261546,-8.600000381469727,4.0,True,,-0.1411243604498856,-0.58202944663741,8,8.307470244714665,1.022838975292668,-0.34531830863937074,1.273732462297854
SDN,Sudan,AFR,1965,1964,True,True,-0.5899399995803833,0.4737800180912018,-0.2036,30.0,0.0,5.592508316040039,7.316548177182976,,0.6025093749229526,-0.4846715927124023,-0.0354194641113281,-1.2511884714659691,-0.3473379629860984,-8.600006103515625,5.0,True,,-0.6425546354263777,0.3829318214495041,-20,6.660141948677261,,-0.9345003245281358,-0.35632418899060436
SEN,Senegal,AFR,2000,1999,True,True,-0.148378001153469,0.374431437253952,0.666,31.48148148148148,0.0,6.19582986831665,7.589890258008286,-0.1111459732055664,-0.0096186568029477,1.2131023406982422,,0.7367540043354737,1.2890054003224272,-22.60000228881836,3.0,True,,-0.0059092048162295,1.1699608204444212,15,6.940961754944439,0.06296071319133567,1.001464265309897,1.4429673516359776
SLE,Sierra Leone,AFR,1996,1995,True,True,-1.5711999893188475,0.3563402831554413,-2.84,1.89873417721519,0.0,5.284609794616699,7.232088511080275,-3.242917060852051,-1.5190094689823397,1.7092180252075195,,-1.224529235881073,0.6113690967060093,-15.400009155273438,4.0,True,,-2.0573382692833,-2.003134476791295,11,6.6271725696065875,-3.6669078546779055,1.0968291231834204,1.222580185631461
SLV,El Salvador,LAC,1982,1981,True,True,-0.4429400026798248,0.3852579057216644,-1.8918,28.87323943661972,0.0,7.407324314117432,8.162516250140179,-1.3310527801513672,-0.1303134588084731,-0.2830457687377929,1.5325689315795898,-0.038350892496819,2.295353093580239,-30.599998474121097,5.0,True,,-0.4306095933714585,-1.1449687720454576,-3,7.856494446302228,-1.1554079242180837,-0.9776215916577247,0.7135666697396736
THA,Thailand,EAP,1974,1973,True,True,-0.1982340008020401,0.3704319477081298,-1.2982,48.837209302325576,0.0,6.355707168579102,8.00202481821611,4.735164642333984,4.414236554475535,4.1464948654174805,5.466122627258301,4.182168471236771,5.494898043824978,-20.799999237060547,0.0,True,,-0.0777917365509378,-0.6077327856110251,-11,6.983967883577591,4.863570952179446,4.2213044961924595,5.414332559016648
URY,Uruguay,LAC,1985,1984,True,True,0.202920001745224,0.354903781414032,-2.289,59.44055944055944,1.0,8.400771141052246,9.083075020930307,0.1655769348144531,0.7411670848682128,3.446626663208008,1.8874740600585935,3.378625360568872,1.5292787111839523,-8.0,1.0,True,,0.5005933228575637,-1.504453498817285,0,8.855304421894015,0.23670237866575405,3.5696887322157522,1.9553477268559138
ZAF,South Africa,AFR,1994,1993,True,True,0.6879600048065185,0.3763904988765716,-0.3304,75.18248175182481,1.0,7.973568916320801,8.693817128795077,-1.3112449645996094,-0.9401370046368208,0.8451747894287109,,3.482764701065957,3.514212619641448,7.799999237060547,0.0,True,,1.199925472617314,0.2681718432151946,9,8.341314417973827,-1.7894834223637623,1.7820052239652995,1.9314089049626482
ZMB,Zambia,AFR,1991,1990,True,True,0.2064800024032592,0.3557352185249328,0.525,55.24475524475524,1.0,5.953705310821533,7.158513997329321,-2.046966552734375,-1.2218319805542066,-1.9362211227416992,0.5762171745300293,1.0586787227805328,4.292430766243545,-14.79999542236328,3.0,True,,0.5057261426200922,1.0423491727233043,6,6.778317446010347,-1.9047272566287532,-0.8811557958898941,1.4892197718799105
ZWE,Zimbabwe,AFR,1978,1977,True,True,-0.8287199914455414,0.4249498009681701,-2.799,16.541353383458645,0.0,6.179601669311523,7.57353126274595,1.7674875259399414,1.8458516512751368,0.1003026962280273,0.7375407218933105,0.29369199458805,0.8930286186904102,-19.300003051757812,6.0,True,,-0.9868283530099862,-1.9660275437660055,-7,7.292310882996812,2.032675409474871,0.1518574928478511,0.9420164109887041
