iso,country,region,transition_year,baseline_year,five_nondem_years,first_eligible_transition,capacity_pre5,capacity_posterior_sd_pre5,administration_pre5,capacity_world_percentile,capacity_above_world_median,log_gdp0_ddcg,log_gdp0_mpd,pre_growth10_ddcg,pre_growth10_mpd,growth10_ddcg,growth20_ddcg,growth10_mpd,growth20_mpd,mortality_change10,negative_growth_years10_mpd,main_eligible,main_exclusion_reason,cap_z,admin_z,t_center
GEO,Georgia,ECA,1995,1994,True,True,,,,,,6.135042667388916,8.150028011963123,-15.449962615966797,-13.324746208068046,6.894674301147461,,6.050331003926619,5.453045268385122,-14.700000762939453,0.0,False,incomplete pre-transition capacity,,,10
GHA,Ghana,AFR,1970,1969,True,True,-0.33630000352859496,0.4462065279483795,-0.8042,42.62295081967213,0.0,5.612730503082275,7.655390644826152,,0.028449521322313487,-1.0585832595825195,-1.1029958724975586,-0.9063363192042306,-1.1293490101984505,-17.29999542236328,5.0,True,,-0.2768557186680904,-0.16063949501363659,-15
GHA,Ghana,AFR,1979,1978,True,False,-0.7071200013160706,0.3925683796405792,-1.316,20.149253731343283,0.0,5.551558017730713,7.60489448081162,-0.23498058319091797,-0.45274220033380885,-1.821584701538086,-0.1206827163696289,-1.9757677034220222,0.024812715773876448,-18.300003051757812,5.0,False,later eligible transition,-0.8115051178720776,-0.6238426248268824,-6
GHA,Ghana,AFR,1996,1995,True,False,-0.33042000234127045,0.35354102253913877,-0.9366,25.31645569620253,0.0,5.468221664428711,7.5264874767374925,1.6630935668945312,1.7468760767971592,2.156686782836914,,2.614287012840437,3.3257724843214875,-14.099998474121094,0.0,False,later eligible transition,-0.26837791509525416,-0.28046773727091234,11
GIN,Guinea,AFR,2010,2009,True,True,-0.35194000601768494,0.2830905318260193,-0.677,17.28395061728395,0.0,6.023036956787109,7.135083546383599,1.0586357116699219,1.9642808818026314,,,2.9792303914466345,,,2.0,False,missing ten-year DDCG GDP endpoint,-0.29940552176455987,-0.04551749792054387,25
GNB,Guinea-Bissau,AFR,1994,1993,True,True,-1.0781999826431274,0.3604423999786377,-0.39540000000000003,5.839416058394161,0.0,5.230264663696289,7.154882533456362,1.9944429397583008,1.2579496930670064,-2.02211856842041,,-0.7996714059574828,0.3675295905862086,-19.100006103515625,4.0,True,,-1.3465293621331527,0.20934377866290674,9
GNB,Guinea-Bissau,AFR,1999,1998,False,False,-1.083400011062622,0.35319696068763734,-0.2982,5.555555555555555,0.0,5.048364639282227,7.030691844105973,-0.8315372467041016,-0.8813440495610525,0.12618541717529297,,1.1664927240971767,1.4520431756696128,-19.599998474121094,3.0,False,no five consecutive observed pre-transition non-democratic years,-1.3540267789038627,0.2973143613472512,14
GNB,Guinea-Bissau,AFR,2005,2004,False,False,-0.8897400140762329,0.3465002179145813,-0.7514,6.172839506172839,0.0,5.015388011932373,7.085625938359102,-2.260103225708008,-0.7283122487870131,,,1.2593079495469972,,,2.0,False,no five consecutive observed pre-transition non-democratic years; missing ten-year DDCG GDP endpoint,-1.0748072069918866,-0.11285300565423954,20
GRC,Greece,INL,1975,1974,True,True,0.5929599881172181,0.3589819371700287,-0.6442,75.57251908396947,1.0,8.972521781921387,9.368710707947624,5.6961822509765625,5.73734276258854,1.4888477325439453,1.0607099533081055,2.0994657650121695,1.7795330425041822,-12.5,3.0,True,,1.0629541599848895,-0.015831951500312365,-10
GRD,Grenada,LAC,1984,1983,True,True,,,,,,7.7371296882629395,,,,4.219708442687988,4.297235012054443,,,,,False,incomplete pre-transition capacity,,,-1
GTM,Guatemala,LAC,1966,1965,True,True,-0.6902799963951111,0.41761077642440797,-2.564,21.238938053097346,0.0,6.9864020347595215,8.268731832117737,,2.072449652464101,2.8339147567749023,1.3010334968566895,3.326186673052227,1.526098465585548,-31.29999542236328,1.0,True,,-0.7872251476242398,-1.753341464230811,-19
GTM,Guatemala,LAC,1986,1985,True,False,-0.5458999931812286,0.35098094344139097,-2.7009999999999996,20.97902097902098,0.0,7.246608734130859,8.573951525234847,-0.23184776306152344,-0.273989741881131,1.2281608581542969,1.1345744132995605,0.38741323812271133,0.735385926790757,-24.29999542236328,3.0,False,later eligible transition,-0.5790576204252006,-1.8773329233640945,1
GUY,Guyana,LAC,1992,1991,True,True,0.21272199600934982,0.35473103523254396,0.701,58.27338129496403,1.0,6.473489761352539,,-2.312440872192383,,4.252161979675293,,,,-9.099998474121094,,True,,0.5147258679618848,1.2016374705879607,7
HND,Honduras,LAC,1982,1981,True,True,-0.32324000000953673,0.37631608843803405,-0.4718,33.098591549295776,0.0,7.0112714767456055,8.080546965824498,2.085442543029785,2.9565767016939937,-0.48764705657958984,0.18100738525390625,-0.7647402566430372,0.2035275695029437,-22.10000228881836,4.0,True,,-0.2580257659235562,0.14019817663529446,-3
HRV,Croatia,ECA,2000,1999,True,True,1.0499799966812133,0.38411534428596494,0.08199999999999999,76.5432098765432,1.0,8.423810958862305,9.439853734907304,,-1.0402600560545316,3.4006595611572266,,4.383974727245938,3.1436809952329003,-2.700000286102295,1.0,True,,1.7218869965655652,0.6414132866207878,15
HTI,Haiti,LAC,1990,1989,True,True,-1.2203999996185302,0.33867257833480835,-2.1521999999999997,0.6993006993006993,0.0,,7.389563953677635,,-1.9062546426690563,,,-0.6749494656888988,-0.04618946421021786,-24.900001525878906,4.0,False,missing ten-year DDCG GDP endpoint,-1.5515537785516773,-1.3806430491133925,5
HTI,Haiti,LAC,1994,1993,False,False,-1.1711999654769898,0.3429097354412079,-1.4778,3.64963503649635,0.0,6.0904860496521,7.274604873803384,,-2.401948866852859,-0.9901142120361328,,0.3587317516134547,0.8831840559214577,-22.899993896484375,3.0,False,no five consecutive observed pre-transition non-democratic years,-1.480617019877551,-0.7702792532047315,9
HTI,Haiti,LAC,2006,2005,True,False,-0.8176399946212769,0.33115398287773135,0.0498,6.790123456790123,0.0,5.943972110748291,7.287423865808077,-0.7421159744262695,0.5864239252347492,,,1.7536529160437109,,,2.0,False,later eligible transition; missing ten-year DDCG GDP endpoint,-0.9708531799324268,0.6122707684887313,21
HUN,Hungary,ECA,1990,1989,True,True,1.279199981689453,0.34252399802207945,0.8162,82.51748251748252,1.0,8.405191421508789,9.305923241869912,1.7180919647216797,0.9918936548784174,-0.27892112731933594,1.0830926895141602,1.127900504316468,2.851240569044453,-7.199999809265137,3.0,True,,2.0523770672236195,1.3058989019175542,5
IDN,Indonesia,EAP,1999,1998,True,True,-0.11441980004310608,0.34201517701148987,-1.626,33.95061728395062,0.0,6.621154308319092,8.557102022226578,3.756399154663086,3.9658377474907347,3.377060890197754,,3.8315593028397466,4.080384849701257,-14.80000114440918,1.0,True,,0.043051832695315824,-0.9044072403839478,14
KEN,Kenya,AFR,2002,2001,True,True,-0.19115400090813636,0.3541490793228149,-1.0761999999999998,29.629629629629626,0.0,6.017658710479736,7.586996775182215,-0.7188558578491211,1.038739747436086,,,3.1844487387807074,2.5624207396382603,,2.0,False,missing ten-year DDCG GDP endpoint,-0.06758377119786815,-0.40681231898628756,17
KGZ,Kyrgyz Republic,ECA,2005,2004,True,True,-0.38869399651885034,0.37888709306716917,-1.2128,19.753086419753085,0.0,5.779725551605225,8.197579238767663,2.8175926208496094,1.9327118400324217,,,2.458223287641168,,,3.0,False,missing ten-year DDCG GDP endpoint,-0.35239753691218745,-0.5304417592607883,20
KGZ,Kyrgyz Republic,ECA,2010,2009,False,False,0.06247600167989731,0.29250175356864927,-1.2586,35.18518518518518,0.0,5.946485996246338,8.312830652588744,3.5396718978881836,2.594328320068584,,,2.8367417703353937,,,2.0,False,no five consecutive observed pre-transition non-democratic years; missing ten-year DDCG GDP endpoint,0.2981007369540217,-0.5718929185914772,25
KHM,Cambodia,EAP,1993,1992,True,True,-0.8700199961662293,0.4636050820350647,-0.8542,10.218978102189782,0.0,,7.263529829410937,,0.4976152129229572,,,2.1574559224892287,3.0926159898296435,-16.599998474121094,1.0,False,missing ten-year DDCG GDP endpoint,-1.046374825268186,-0.20589185236155033,8
KOR,Korea,EAP,1988,1987,True,True,1.357200026512146,0.33960922360420226,0.009600000000000008,83.91608391608392,1.0,8.615279197692871,9.293299511795402,5.896816253662109,7.051270441281119,6.430015563964844,5.054903030395508,6.6163876516687194,5.030802920104431,-2.9000000953674316,0.0,True,,2.164837768780059,0.5758878731810086,3
LBN,Lebanon,MNA,2005,2004,True,True,-0.11875600032508374,0.34715461134910586,-0.73,32.71604938271605,0.0,8.546303749084473,9.158163598191068,1.3789653778076172,5.302044724400545,,,3.586516821275243,,,2.0,False,missing ten-year DDCG GDP endpoint,0.0367998859572216,-0.09348499670933245,20
LBR,Liberia,AFR,2004,2003,True,True,-1.1082600116729737,0.34437533617019656,-2.4404,3.0864197530864197,0.0,4.9080352783203125,6.7474820028347535,5.3125762939453125,4.1895072665926225,,,0.549127604895574,,,4.0,False,missing ten-year DDCG GDP endpoint,-1.3898700032980142,-1.6414776368667678,19
LSO,Lesotho,AFR,1993,1992,True,True,-0.49974000453948975,0.3916844427585602,-0.8629999999999999,21.897810218978105,0.0,5.78737735748291,7.557276443911831,1.4707565307617188,1.9463117349400605,1.8030643463134766,,0.2292721282484944,1.2450642267760115,14.199996948242188,4.0,True,,-0.5125040085870579,-0.2138562672547831,8
LSO,Lesotho,AFR,1999,1998,False,False,-0.09426199942827225,0.38698785901069643,0.10800000000000001,36.41975308641975,0.0,5.913324356079102,7.561475003284817,2.7593135833740234,1.0213610806452067,2.3020410537719727,,1.246218024550405,1.4752142397818035,5.099998474121094,1.0,False,no five consecutive observed pre-transition non-democratic years,0.0721154108526389,0.6649445124417029,14
LTU,Lithuania,ECA,1993,1992,True,True,,,,,,8.066171646118164,9.23414861608415,,-2.8763918189407534,1.6587352752685547,,1.9858471862650973,3.6627429507080045,-6.90000057220459,3.0,False,incomplete pre-transition capacity,,,8
LVA,Latvia,ECA,1993,1992,True,True,,,,,,7.768338203430176,9.149655213818527,-3.599720001220703,-4.10637556335562,4.8828887939453125,,3.2423906114033585,3.7616636777465913,-6.0,1.0,False,incomplete pre-transition capacity,,,8
MDA,Moldova,ECA,1994,1993,True,True,,,,,,6.353748321533203,8.591160534654515,-4.789319038391113,-6.56282925273171,-2.7884578704833984,,-4.093651143699688,0.028238397646651592,-6.899999618530273,5.0,False,incomplete pre-transition capacity,,,9
MDG,Madagascar,AFR,1993,1992,True,True,-0.865939998626709,0.342838841676712,-0.8124,10.948905109489052,0.0,5.555016040802002,7.04981550205259,-1.5960264205932617,-2.107070960372619,-1.6268634796142578,,-0.3696021331353805,0.7925843997744542,-29.000003814697266,3.0,True,,-1.0404922724224022,-0.16806088161869442,8
MEX,Mexico,LAC,1997,1996,True,True,0.6866400003433227,0.34159497618675233,-0.21139999999999998,68.75,1.0,8.516060829162598,9.248262080332044,0.5878543853759766,1.123220309321109,2.1816539764404297,,3.188823060457029,2.376020279722404,-10.899999618530273,1.0,True,,1.1980222861726642,0.3758724537032296,12
MKD,"Macedonia, FYR",ECA,1991,1990,True,True,,,,,,7.630178928375244,9.124019665509655,,-0.7616935541015302,-1.42822265625,0.37808895111083984,-1.2640359860409944,0.9255285629624588,-18.899998664855957,5.0,False,incomplete pre-transition capacity,,,6
MLI,Mali,AFR,1992,1991,True,True,-0.7642200112342834,0.3537876784801483,-0.021200000000000007,14.388489208633093,0.0,5.23075008392334,7.078980230640847,-0.6029033660888672,0.6596444100121701,2.2158384323120117,,0.9823396285394193,1.1712007822472703,-15.200004577636719,5.0,True,,-0.8938320856177887,0.5480124210546937,7
MNG,Mongolia,EAP,1993,1992,True,True,0.47422000765800476,0.35892428159713746,0.8228,69.34306569343066,1.0,6.038744926452637,7.518070951274408,-0.7064342498779297,0.14781320599326797,1.7296123504638672,,6.140320817683058,8.70196347941751,-27.900001525878906,0.0,True,,0.8917544954770555,1.311872213087479,8
MOZ,Mozambique,AFR,1994,1993,True,True,-0.8751999974250794,0.35193753242492676,-0.8356000000000001,10.218978102189782,0.0,5.203793525695801,7.27190501013886,1.5290403366088867,-1.6294286507313949,4.243168830871582,,-2.1944031330747205,-1.802139854152287,-49.79999542236328,7.0,True,,-1.0538433668178446,-0.18905797542812655,9
MRT,Mauritania,AFR,2007,2006,True,True,-0.05613119783811271,0.34376582503318787,0.7424,33.12883435582822,0.0,6.423418998718262,7.939942445992368,1.8877315521240234,4.046185853095041,,,1.8472727059739125,,,3.0,False,missing ten-year DDCG GDP endpoint,0.12709251641054684,1.2391064224720334,22
